"Device Name","Ticket Name","Order Source","Number of Items","Items in Ticket","Completion Time (seconds)","Time Created","Time Completed","Time Due","Time Recalled"
"MILK","","Point of Sale","1","1x 12oz/ICED SMALL","129","2026-02-09 06:30:16","2026-02-09 06:32:25","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 12oz/Medium","569","2026-02-09 06:31:25","2026-02-09 06:40:54","",""
"MILK","","Point of Sale","1","1x 8oz/Small","431","2026-02-09 06:33:43","2026-02-09 06:40:54","",""
"MILK","","Point of Sale","1","1x 8oz/Small","406","2026-02-09 06:34:08","2026-02-09 06:40:54","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","159","2026-02-09 06:38:17","2026-02-09 06:40:56","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","1086","2026-02-09 06:45:45","2026-02-09 07:03:51","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","889","2026-02-09 06:49:02","2026-02-09 07:03:51","",""
"MILK","","Point of Sale","1","1x 8oz/Small","756","2026-02-09 06:51:16","2026-02-09 07:03:52","",""
"MILK","2116684450","Square Online","2","1x 16oz/Large; 1x 16oz/Large","291","2026-02-09 06:59:01","2026-02-09 07:03:52","2026-02-09 06:58:56",""
"MILK","","Point of Sale","1","1x 8oz/Small","208","2026-02-09 07:00:25","2026-02-09 07:03:53","",""
"MILK","","Point of Sale","2","1x 12oz/ICED SMALL; 1x TOASTIE","3935","2026-02-09 07:07:16","2026-02-09 08:12:51","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","3888","2026-02-09 07:08:04","2026-02-09 08:12:52","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","3640","2026-02-09 07:12:12","2026-02-09 08:12:52","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","3401","2026-02-09 07:16:12","2026-02-09 08:12:53","",""
"MILK","","Point of Sale","1","1x 12oz/ICED SMALL","3384","2026-02-09 07:16:29","2026-02-09 08:12:53","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","682","2026-02-09 07:20:50","2026-02-09 07:32:12","",""
"MILK","","Point of Sale","1","1x 6oz","638","2026-02-09 07:21:35","2026-02-09 07:32:13","",""
"MILK","","Point of Sale","1","1x 12oz/ICED SMALL","533","2026-02-09 07:23:20","2026-02-09 07:32:13","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","472","2026-02-09 07:24:22","2026-02-09 07:32:14","",""
